"name";"description";"stewardship";"prj_id"
"ONE DEMO";;;"24e8f2de-0000-7000-0000-0000000db0cd"
"DEMO ONE";;;"24e8f2de-0000-7000-0000-0000001471d4"
"DEMO TWO";;;"24e8f2de-0000-7000-0000-0000001471ec"
"MEMBERS_DATA_DEMO";;;"24e8f2de-0000-7000-0000-000000181a4a"
"EmailNotificationMP_Test";"[{""type"":""paragraph"",""children"":[{""text"":""This monitoring project is created for testing email notification.""}]}]";"16d3a735-0000-7000-0000-000000088d0b";"24e8f2de-0000-7000-0000-000000182cd4"
"test";;;"24e8f2de-0000-7000-0000-000000184667"
"Financial Securities Failures";;"16d3a735-0000-7000-0000-0000000e0054";"36ed325c-0000-7000-0000-000000551979"
"Customer DQ report";"[{""type"":""paragraph"",""children"":[{""text"":""Validate and monitor data quality for customer and entities in the PostgreSQL DWH. Two main entities subject to the DQ checks are customer party and mainframe export.""}]}]";"15bbce34-0000-7000-0000-00000047025b";"5f463b19-0000-7000-0000-000000053312"
"E-mail campaigns performance";"[{""type"":""paragraph"",""children"":[{""text"":""Monitor achievement of KPI goals for our global e-mail marketing campaigns across all markets and customer segments.""}]}]";"15bbce34-0000-7000-0000-00000047025b";"5f463b19-0000-7000-0000-00000005390e"
